Features,Pvalue,Params,Odds,Percent
Pregnancies,0.00012296423060169137,2.0940990719914705,8.118123829464357,3354.7208087138224
Glucose,2.5091321910111435e-21,6.997579206764477,1093.9816469720574,inf
BloodPressure,0.011072079646167347,-1.6220567223253508,0.1974920946905496,1.2183434335497105
SkinThickness,0.9285152151977175,0.061277472122699274,1.0631938799256218,2.8956044490603077
Insulin,0.18606519569510405,-1.0081773406012497,0.3648834320691901,1.4403461001985158
BMI,2.758957024314843e-09,6.018935089076515,411.14053447370856,3.598035207466074e+178
DiabetesPedigreeFunction,0.0015799802724033032,2.2136109525346868,9.148692313666306,9402.137289779483
Age,0.11119198250043973,0.8921402846681671,2.4403471033721953,11.477023765146246
